ApplNo,ProductNo,Form,Strength,ReferenceDrug,DrugName,ActiveIngredient,ReferenceStandard
2139,3,TABLET;ORAL,5MG,0,MENADIONE,MENADIONE,0.0
2282,1,INJECTABLE;INJECTION,100MG/ML,0,INULIN AND SODIUM CHLORIDE,INULIN,0.0
2386,2,TABLET;ORAL,100MG,0,AMINOPHYLLIN,AMINOPHYLLINE,0.0
2386,3,TABLET;ORAL,200MG,0,AMINOPHYLLIN,AMINOPHYLLINE,0.0
2918,1,POWDER;TOPICAL,33.32%,0,BENSULFOID,SULFUR,0.0
3158,1,TABLET;ORAL,10MG,0,ORETON METHYL,METHYLTESTOSTERONE,0.0
3158,2,TABLET;ORAL,25MG,0,ORETON METHYL,METHYLTESTOSTERONE,0.0
3240,1,"TABLET;BUCCAL, SUBLINGUAL",10MG,0,METANDREN,METHYLTESTOSTERONE,0.0
3240,3,"TABLET;BUCCAL, SUBLINGUAL",25MG,0,METANDREN,METHYLTESTOSTERONE,0.0
3240,4,"TABLET;BUCCAL, SUBLINGUAL",5MG,0,METANDREN,METHYLTESTOSTERONE,0.0
3240,5,"TABLET;BUCCAL, SUBLINGUAL",10MG,0,METANDREN,METHYLTESTOSTERONE,0.0
3402,1,INJECTABLE;INJECTION,5PRESSOR UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,PITRESSIN TANNATE,VASOPRESSIN TANNATE,0.0
3444,1,CAPSULE;ORAL,"50,000 IU",1,DRISDOL,ERGOCALCIFEROL,0.0
3718,4,INJECTABLE;INJECTION,5MG/ML,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0.0
3718,6,INJECTABLE;INJECTION,10MG/ML,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0.0
3718,8,INJECTABLE;INJECTION,37.5MG/ML,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0.0
3718,10,TABLET;ORAL,5MG,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0.0
3977,1,INJECTABLE;INJECTION,1MG/ML,0,THEELIN,ESTRONE,0.0
3977,2,INJECTABLE;INJECTION,2MG/ML,0,THEELIN,ESTRONE,0.0
3977,3,INJECTABLE;INJECTION,5MG/ML,0,THEELIN,ESTRONE,0.0
4039,2,"TABLET, DELAYED RELEASE;ORAL",0.1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4039,3,"TABLET, DELAYED RELEASE;ORAL",0.5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4039,4,"TABLET, DELAYED RELEASE;ORAL",1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4039,5,"TABLET, DELAYED RELEASE;ORAL",0.25MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4039,6,"TABLET, DELAYED RELEASE;ORAL",5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4040,1,SUPPOSITORY;VAGINAL,0.1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4040,2,SUPPOSITORY;VAGINAL,0.5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4041,2,TABLET;ORAL,0.1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4041,3,TABLET;ORAL,0.5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4041,4,TABLET;ORAL,1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4041,5,TABLET;ORAL,5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0.0
4054,1,TABLET;ORAL,500MG,0,SULFADIAZINE,SULFADIAZINE,0.0
4054,2,INJECTABLE;INJECTION,250MG/ML,0,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM,0.0
4056,1,SUPPOSITORY;VAGINAL,0.1MG,0,STILBESTROL,DIETHYLSTILBESTROL,0.0
4056,2,SUPPOSITORY;VAGINAL,0.5MG,0,STILBESTROL,DIETHYLSTILBESTROL,0.0
4056,3,INJECTABLE;INJECTION,0.2MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0.0
4056,4,INJECTABLE;INJECTION,0.5MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0.0
4056,5,INJECTABLE;INJECTION,1MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0.0
4056,6,INJECTABLE;INJECTION,5MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0.0
4056,7,TABLET;ORAL,0.1MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,8,TABLET;ORAL,0.5MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,9,TABLET;ORAL,1MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,10,TABLET;ORAL,5MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,11,"TABLET, DELAYED RELEASE;ORAL",0.1MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,12,"TABLET, DELAYED RELEASE;ORAL",0.5MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,13,"TABLET, DELAYED RELEASE;ORAL",1MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,14,"TABLET, DELAYED RELEASE;ORAL",5MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4056,17,TABLET;ORAL,0.25MG,0,STILBETIN,DIETHYLSTILBESTROL,0.0
4122,2,TABLET;ORAL,500MG,1,SULFADIAZINE,SULFADIAZINE,0.0
4125,5,TABLET;ORAL,300MG,0,SULFADIAZINE,SULFADIAZINE,0.0
4570,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
4570,2,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
4570,3,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
4589,4,INJECTABLE;INJECTION,5ML/100ML;5GM/100ML,0,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,0.0
4782,1,TABLET;ORAL,1.25MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1.0
4782,2,TABLET;ORAL,2.5MG,0,PREMARIN,"ESTROGENS, CONJUGATED",0.0
4782,3,TABLET;ORAL,0.3MG,1,PREMARIN,"ESTROGENS, CONJUGATED",0.0
4782,4,TABLET;ORAL,0.625MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1.0
4782,5,TABLET;ORAL,0.9MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1.0
4782,6,TABLET;ORAL,0.45MG,1,PREMARIN,"ESTROGENS, CONJUGATED",0.0
5010,1,TABLET;ORAL,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5010,2,INJECTABLE;INJECTION,50MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5010,3,INJECTABLE;INJECTION,100MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5010,4,TABLET;ORAL,100MG,1,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5010,5,SYRUP;ORAL,50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5010,7,INJECTABLE;INJECTION,25MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5010,9,INJECTABLE;INJECTION,75MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0.0
5151,1,PELLET;IMPLANTATION,125MG,0,PERCORTEN,DESOXYCORTICOSTERONE ACETATE,0.0
5213,1,TABLET;ORAL,1.5MG;5MG,1,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0.0
5213,2,SYRUP;ORAL,1.5MG/5ML;5MG/5ML,1,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0.0
5264,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0.0
5264,6,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0.0
5264,7,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0.0
5264,8,INJECTABLE;INJECTION,"20,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0.0
5264,9,INJECTABLE;INJECTION,"40,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0.0
5264,10,INJECTABLE;INJECTION,100 UNITS/ML,0,HEPARIN LOCK FLUSH,HEPARIN SODIUM,0.0
5264,13,INJECTABLE;INJECTION,"2,000 UNITS/ML",0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0.0
5264,14,INJECTABLE;INJECTION,"2,500 UNITS/ML",0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0.0
5292,1,TABLET;ORAL,0.02MG,0,ESTINYL,ETHINYL ESTRADIOL,0.0
5292,2,TABLET;ORAL,0.05MG,0,ESTINYL,ETHINYL ESTRADIOL,0.0
5292,3,TABLET;ORAL,0.5MG,0,ESTINYL,ETHINYL ESTRADIOL,0.0
5319,1,INJECTABLE;INJECTION,100%,0,PANTOPAQUE,IOPHENDYLATE,0.0
5378,2,TABLET;ORAL,5MG,1,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,1.0
5378,3,"TABLET, EXTENDED RELEASE;ORAL",10MG,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,0.0
5378,4,"TABLET, EXTENDED RELEASE;ORAL",5MG,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,0.0
5378,5,"TABLET, EXTENDED RELEASE;ORAL",15MG,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,0.0
5490,2,TABLET;ORAL,0.05MG,0,LYNORAL,ETHINYL ESTRADIOL,0.0
5490,3,TABLET;ORAL,0.01MG,0,LYNORAL,ETHINYL ESTRADIOL,0.0
5509,1,CAPSULE;ORAL,50MG,0,DICUMAROL,DICUMAROL,0.0
5509,3,CAPSULE;ORAL,25MG,0,DICUMAROL,DICUMAROL,0.0
5521,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
5521,2,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
5521,4,INJECTABLE;INJECTION,"20,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
5545,3,TABLET;ORAL,25MG,0,DICUMAROL,DICUMAROL,0.0
5545,4,TABLET;ORAL,50MG,0,DICUMAROL,DICUMAROL,0.0
5545,5,TABLET;ORAL,100MG,0,DICUMAROL,DICUMAROL,0.0
5619,1,INJECTABLE;INJECTION,20%,0,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,0.0
5620,1,INJECTABLE;INJECTION,12.5GM/50ML,0,MANNITOL 25%,MANNITOL,0.0
5657,1,INJECTABLE;INJECTION,3MG/ML,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,0.0
5691,2,TABLET;ORAL,130CSR UNIT,0,VERTAVIS,VERATRUM VIRIDE ROOT,0.0
5725,1,INJECTABLE;INJECTION,10MG/ML,0,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE,0.0
5794,1,CREAM;VAGINAL,3.7%;2.86%;3.42%,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),0.0
5794,2,TABLET;VAGINAL,184MG;143.75MG;172.5MG,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),0.0
5795,1,OINTMENT;TOPICAL,0.2%,0,FURACIN,NITROFURAZONE,0.0
5845,1,CAPSULE;ORAL,50MG,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0.0
5845,4,ELIXIR;ORAL,12.5MG/5ML,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0.0
5845,7,CAPSULE;ORAL,25MG,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0.0
5856,2,SOLUTION;ORAL,200MG/5ML,0,TRIDIONE,TRIMETHADIONE,0.0
5856,5,CAPSULE;ORAL,300MG,0,TRIDIONE,TRIMETHADIONE,0.0
5856,9,TABLET;ORAL,150MG,1,TRIDIONE,TRIMETHADIONE,0.0
5897,4,TABLET;ORAL,1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,FOLVITE,FOLIC ACID,0.0
5897,8,INJECTABLE;INJECTION,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,FOLVITE,FOLIC ACID,0.0
5914,2,TABLET;ORAL,50MG,0,PBZ,TRIPELENNAMINE HYDROCHLORIDE,0.0
5914,4,ELIXIR;ORAL,EQ 25MG HYDROCHLORIDE/5ML,0,PBZ,TRIPELENNAMINE CITRATE,0.0
5929,1,INJECTABLE;INJECTION,1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE,0.0
5932,12,INJECTABLE;INJECTION,5%,0,AMINOSOL 5%,PROTEIN HYDROLYSATE,0.0
5939,1,INJECTABLE;INJECTION,10%,1,BAL,DIMERCAPROL,1.0
5963,1,SOLUTION/DROPS;OPHTHALMIC,10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SODIUM SULAMYD,SULFACETAMIDE SODIUM,0.0
5963,2,OINTMENT;OPHTHALMIC,10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SODIUM SULAMYD,SULFACETAMIDE SODIUM,0.0
5963,3,SOLUTION/DROPS;OPHTHALMIC,30% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SODIUM SULAMYD,SULFACETAMIDE SODIUM,0.0
5970,4,INJECTABLE;INJECTION,1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SOTRADECOL,SODIUM TETRADECYL SULFATE,0.0
5970,5,INJECTABLE;INJECTION,3% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SOTRADECOL,SODIUM TETRADECYL SULFATE,0.0
6002,1,TABLET;ORAL,500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,ARALEN,CHLOROQUINE PHOSPHATE,0.0
6002,2,INJECTABLE;INJECTION,EQ 40MG BASE/ML,0,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE,0.0
6008,1,TABLET;ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,MESANTOIN,MEPHENYTOIN,0.0
6012,3,CAPSULE;ORAL,182MG;0.33MG,0,FOLVRON,FERROUS SULFATE; FOLIC ACID,0.0
6035,3,TABLET;ORAL,0.2MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,METHERGINE,METHYLERGONOVINE MALEATE,0.0
6035,4,INJECTABLE;INJECTION,0.2MG/ML,1,METHERGINE,METHYLERGONOVINE MALEATE,0.0
6044,3,"TABLET, DELAYED RELEASE;ORAL",165MG,0,DIASONE SODIUM,SULFOXONE SODIUM,0.0
6071,3,INJECTABLE;INJECTION,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML",0,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,0.0
6095,1,INJECTABLE;INJECTION,3MG/ML,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,0.0
6110,5,CREAM;VAGINAL,0.01%,0,DIENESTROL,DIENESTROL,0.0
6134,2,TABLET;ORAL,5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0.0
6134,4,SYRUP;ORAL,10MG/30ML,0,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0.0
6134,10,TABLET;ORAL,10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0.0
6135,3,TABLET;ORAL,1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,FOLIC ACID,FOLIC ACID,0.0
6146,1,INJECTABLE;INJECTION,10MG/ML,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0.0
6146,2,INJECTABLE;INJECTION,50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0.0
6170,3,INJECTABLE;INJECTION,5%,0,HYPROTIGEN 5%,PROTEIN HYDROLYSATE,0.0
6188,1,TABLET;ORAL,50MG,1,PROPYLTHIOURACIL,PROPYLTHIOURACIL,1.0
6203,1,INJECTABLE;INJECTION,2.5MG/ML,0,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE,0.0
6213,1,TABLET;ORAL,50MG,0,PROPYLTHIOURACIL,PROPYLTHIOURACIL,0.0
6270,3,SOAP;TOPICAL,2%,0,GAMOPHEN,HEXACHLOROPHENE,0.0
6309,1,CREAM;TOPICAL,1%,0,KWELL,LINDANE,0.0
6309,3,LOTION;TOPICAL,1%,0,KWELL,LINDANE,0.0
6317,7,SUSPENSION;ORAL,250MG/5ML;250MG/5ML,0,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE,0.0
6317,11,TABLET;ORAL,167MG;167MG;167MG,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0.0
6317,12,SUSPENSION;ORAL,167MG/5ML;167MG/5ML;167MG/5ML,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0.0
6325,1,INJECTABLE;INJECTION,3MG/ML,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,0.0
6327,2,SOLUTION;INHALATION,0.5%,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0.0
6327,3,SOLUTION;INHALATION,1%,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0.0
6328,1,"TABLET;RECTAL, SUBLINGUAL",10MG,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0.0
6328,2,"TABLET;RECTAL, SUBLINGUAL",15MG,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0.0
6333,8,ELIXIR;ORAL,EQ 165MG BASE/15ML,0,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE,0.0
6383,2,POWDER;FOR RX COMPOUNDING,50GM/BOT,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0.0
6383,3,POWDER;FOR RX COMPOUNDING,100GM/BOT,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0.0
6383,4,POWDER;FOR RX COMPOUNDING,500GM/BOT,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0.0
6403,5,INJECTABLE;INJECTION,25MG/ML,0,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE,0.0
6412,14,TABLET;ORAL,25MG,0,DECAPRYN,DOXYLAMINE SUCCINATE,0.0
6412,15,TABLET;ORAL,12.5MG,0,DECAPRYN,DOXYLAMINE SUCCINATE,0.0
6441,1,TABLET;ORAL,EQ 200MG BASE,0,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE,0.0
6459,1,TABLET;ORAL,50MG,0,HETRAZAN,DIETHYLCARBAMAZINE CITRATE,0.0
6460,2,INJECTABLE;INJECTION,10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,PROTAMINE SULFATE,PROTAMINE SULFATE,0.0
6470,1,INJECTABLE;INJECTION,EQ 90MG CALCIUM/5ML,0,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE,0.0
6488,2,INJECTABLE;INJECTION,2%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1.0
6488,3,INJECTABLE;INJECTION,0.01MG/ML;2%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,0.0
6488,4,INJECTABLE;INJECTION,0.01MG/ML;1%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1.0
6488,5,INJECTABLE;INJECTION,0.02MG/ML;2%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1.0
6488,7,INJECTABLE;INJECTION,1%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1.0
6488,8,INJECTABLE;INJECTION,0.5%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1.0
6488,10,INJECTABLE;INJECTION,1.5%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1.0
6488,12,INJECTABLE;INJECTION,0.005MG/ML;0.5%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1.0
6488,17,INJECTABLE;INJECTION,0.005MG/ML;1.5%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1.0
6488,18,INJECTABLE;INJECTION,0.005MG/ML;1%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1.0
6488,19,INJECTABLE;INJECTION,0.005MG/ML;2%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1.0
6514,4,SYRUP;ORAL,12.5MG/5ML,0,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE,0.0
6525,1,TABLET;ORAL,500MG,0,GANTRISIN,SULFISOXAZOLE,0.0
6530,3,CREAM;VAGINAL,15% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,AVC,SULFANILAMIDE,0.0
6530,4,SUPPOSITORY;VAGINAL,1.05GM,0,AVC,SULFANILAMIDE,0.0
6536,1,INJECTABLE;INJECTION,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0.0
6536,2,TABLET;ORAL,10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0.0
6536,3,TABLET;ORAL,5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0.0
6536,4,TABLET;ORAL,25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0.0
6536,5,TABLET;ORAL,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0.0
6580,1,INJECTABLE;INJECTION,900MG/100ML,0,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE,0.0
6620,1,TABLET;ORAL,100MG;1MG,0,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE,0.0
6632,3,INJECTABLE;INJECTION,2MG/ML,0,METUBINE IODIDE,METOCURINE IODIDE,0.0
6668,10,INJECTABLE;INJECTION,1MG/ML,0,REDISOL,CYANOCOBALAMIN,0.0
6695,1,INJECTABLE;INJECTION,10MG/VIAL,1,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE,0.0
